Question,Answer
Did any enlightened masters talk about what happens after enlightenment? What’s the next step? Or if they dissolve into nothingness and they become God consciousness watching the entire world within them?,"One enters on a rare pilgrimage after enlightenment.
I happened to read ‘The Ten Bulls of Zen' by Kakuan which is something unique in the history of human consciousness. Truth has been expressed in many ways, and it has always been found that it remains unexpressed whatsoever you do. It simply escapes description. The ‘Ten Bulls of Zen' by Kakuan have tried in a single effort to express the inexpressible.

The first eight bulls came from Taoism and two were added by Zen master Kakuan.
These two bulls represent the journey after enlightenment. The eighth bull represents enlightenment.
9th bull says ‘life is a goal'. Now one knows thoughts, dreams and reality are not different there is no distinction because no-mind can't distinguish.
You understand religion is mean not end. Religion is to make you happy not repressed. Happiness is Advaita- non-dual - your very nature. Your mind is misery and no-mind is peace. Life is only happiness. Happiness is climate.
Spread happiness by helping people to come out of mind. You have found new goal.
Tenth Bull:- (returning to society) I go to the market place again with my bottle of wine and return home with my staff (disciples). Why one should follow the footprints of patriarchs?

People need your help to be happy. Now everybody is enlightened for you. Love them equally.
Answer the question:-
What is this life? If death comes and takes it, what is this life? What meaning does it carry if one is so impotent against death?
Remember, after birth everybody is on his deathbed. There is no other way. All beds are deathbeds because after birth only one thing is certain, and that is death.
The search for the enlightenment is the search for a real-life, authentic life, which knows no death.Where all search ends.
Image Credit : google.com"
How do you meditate? Where can I find free calming music for meditating?,"Listening to music is not meditation, listening to music is entertainment or relaxation at the most.
Yes, you can use music as means to enter meditation but meditation will happen in utter silence after all meditation is a journey towards silence.
At the worst people use music to meditate whereas music in itself is a hardwired pattern of seven notes in the human brain which only reinforces old patterns in the brain.
Music is not required to mediate but yes, you can use the natural sound of nature to meditate which will give you calmness and freshness.
When you hear the chirping of birds and when you breathe the fragrance of the flowers you connect with your true-self and that is what makes your meditation flower.

Image Credit: google.in"
Why is it that we get spiritually inclined when we have an emotional breakdown?,"No one can get into spirituality by planning.
Spirituality is something that happens when death happens, when something stirs your soul.
By death, I mean either death of a relationship, death of a loved one or death of the profession - The Tragedy.
The ordinary world is a world of shadows, where one shadow relates to another shadow and this world is made up of the same stuff as dreams - Maya.
By shadow, I mean ‘ego' or false self.
Only death can break our dream.
Only death leaves us pondering:-
What is life?
This very question gets you to seek the answers to questions:-
Who am I?
What is life?
Is there something beyond life?
Only spirituality has answers to all these questions.

Image Credit: google.in"
"So I've had this recurring nightmare for 5 years now- I end up in my old house fighting off this invisible entity trying to drag me through the house and up the stairs to my bedroom, where a demon is trying to hurt/torture me. what does this mean?","If I name your demon it is death because it is fear of death.
This happens when one loses faith in God. This is the second plane of reality where all ghosts and gods exist.
This is happening because of a lack of surrender to your God.
To overcome this you will have to surrender to God's will and stop choosing good or bad.
Alternatively, you should start living your life out of love and devotion this will help you heal your heart."
What's the difference between conceptualizing nonduality and directly experiencing nonduality?,"Duality is a natural process of mind of elimination by choosing but it comes with the identification of self with ego (ego is the mind's ‘I' - false-self).
What does non-duality say?
Ego is an illusion and cause of duality.
When you can see your ego as the illusion that means your ego is conceptualizing the non-duality (illusion of ego) in a thousand and one ways.
Who is seeing the ego as an illusion ?
Apparently your ego itself, because your center is ego, which is not your true-self.
You are practising what you have read and heard from others. This is mind munching. This is not your own experience.
e.g. If a kid is warned not to play with fire he won't listen until and unless he gets burnt and out of that experience he remains aware of that fact rest of his life.
As Socrates said - when you become aware of something out of your own experience, you become free of it.
The day ‘ego is an illusion’ will become your experience - you will be free of it.
You will realise your true-self - which is beyond the duality of your mind and which is your ‘isness' like the ‘isness' of trees, birds, sun, stars and moon."
"Why are people restless, always need to do something, and can't stay still? Is this restlessness caused by the ego?","Your mind's ‘I' is ego. Mind is ‘doing' , it has to do something, it has to reach somewhere. It is the very nature of your mind to create thoughts continuously otherwise your mind will not remain.
Mind is a continuous flow of thoughts jumping from one thought to another like a monkey. Sometimes it is hyperactively focussed other times it's noisy because of confusion or tiredness. Mind is restlessness because of its unceasing running.
You can not control mind PERIOD.
But ‘YES' you can transcend the mind altogether.
‘YES' you read it right - you can transcend mind altogether by attaining NO-MIND.
How does one attain NO-MIND?
Let's be clear about one thing - it takes time and patience to become master of your mind but if your mind becomes a slave of you then you can call your mind on demand to work for you otherwise you remain silent and remain in the present moment.
Now the real thing:-
Meditate by witnessing your thoughts - between every two thoughts there will be a gap and this is where the magic of NO-Mind happens, thoughts will be there, but thoughts will start becoming more and more powerless as you don't cooperate with them, you stand aloof and when you keep meditating for months and years these gaps will become longer and longer and one fine day one of the gaps will become permanent - here you enter the state of NO-MIND permanently.
Now, the mind will never bother you unnecessarily."
"Why am I not enlightened while I see the ego as illusory, and I see the thoughtforms in my mind to be just fragments of the mind?","If you can see your ego as the illusion that means your ego is conceptualizing the illusion of ego in a thousand and one ways.
Who is seeing the ego as an illusion ?
Apparently your ego itself.
You are practising what you have read and heard from others. This is mind munching. This is not your own experience.
If a kid is warned not to play with fire he won't listen until and unless he gets burnt and out of that experience he remains aware of that fact rest of his life.
Socrates said - when you become aware of something out of your own experience, you become free of it.
The day ‘ego is an illusion' will become your experience - you will be free of it.
You will be enlightened - then there will remain your ‘isness' like the ‘isness' of trees, birds, sun, stars and moon."
"My TF introduced me to the concept of tf's 11 years ago when we first met, I was married then and he was going to marry soon. Now that I have realized & accepted it he's dismissing it. What's this?","I feel sorry to hear that you have wasted 11 years in misunderstanding but now understand the following :-
Twin flame is just a concept (false sellable story script) based on delusional experiences of people, who think they are spiritual.
So-called twin flame experts try to sell their story by slyly flipping their STORY script onto your life.
Surrender, separation, runner, chaser are all labels just to make the storyline interesting and they know the story attracts gullible people. Every now and then they refer to false stories (script) of their experiences to keep you glued to the storyline.
INTRODUCING the most elusive centre CHARACTER of the story - THE RUNNER.
Runner means an illusion - a dream, a hook.
So-called Runner enjoys his/ her life and the chaser keeps dreaming and screaming and gets fed by lies of so-called twin flames experts.
To be clear - the whole concept is an illusion or fiction.
Young girls and boys come to me with their horror stories of the twin flame.
In one of the stories, a beautiful girl fell in love with a guy and wasted 4 years and at the end of the day ‘Guy' (so-called runner) turned out to be GAY. She thought her love was divine because it was devoid of sexual relationships and one of the well-known twin flame experts kept telling her - this is sacred and divine love.
So-called twin flame experts are more like African Ghanaian Con Artists or better yet to say they also live an illusion.
Nothing can be true in duality (twin)- it is like a weak ego chasing a strong ego. A runner doesn't give a damn and the chaser keeps moving in circles. A twin flame is a stigma, a hurdle to the expansion of human consciousness.
PS: So-called Twin-flames experts keep misguiding deliberately throughout your journey knowing well that it is harming your mental and physical health."
"How is it observed that some people get the state of Samadhi without any efforts may be due to past incarnation achievement, karmas or samskaras?","“You have to move on. I am only a teacher, not a master. I was pretending and I am very sorry!” said Buddha’s master. Buddha was totally shattered and tired.
He went to take a bath in a nearby river, Niranjana. It is a very small river; in the summer it is not even one foot deep. And he was taking a bath, but he was so weak that he could not cross that small current. He had to hang onto a branch of a tree for a few moments to gather some energy so that he could get out of the river.
He felt like cheated in the name of enlightenment. That experience made it clear to him there is no enlightenment.
Though denying to be real master can only be claimed by the real master, according to me Buddha’s master was real courageous master who declared himself charlatan.*
Buddha’s last hook of attachment and of desire to be enlightened disappeared in one stroke. Buddha’s seeking ended. He became available to non-doing- a rest , a point where there was neither the inward nor the outward journey remained. For him, not only the material world was in vain, the spiritual world also became futile.
And he went down to rest. Not that Buddha had to do anything to go into rest. When there was nothing left to worry about, he became sure, became available to rest. He didn't have to make any effort to rest. That night he was completely depressed but relaxed.
When he awoke in the morning, the last star was setting. He watched as the last star was setting; And with its disappearance, he also merged. He became Buddha.
Then people started asking him how did you attain enlightenment? What is the method? If he had said that it was done by this method or that method, he would have been wrong, because he found it only when there was no remedy no method then there was nowhere to go.
Past incarnation achievement, karmas or samskaras get you to start your journey, but Samadhi always happens without efforts, it is a fruit of effortlessness.
Enlightenment/ Samadhi only happens to the one who’s seeking has ended.
*Later Buddha as a master also confirmed similar tactic by saying - “If you meet Buddha on street, just kill him”."
"If root chakra energy increase, does all chakra energy will increase?","You can increase the Prana energy for energy to travel to Sahasrara Chakra (7th Chakra).
All the energy is stored in Kunda just below Muladhara Chakra and every Kunda is connected to a cosmic Kunda.
Apana energy travels downwards and Prana energy travels upwards. All yogi try to increase the amount of Prana so that kundalini travels upwards opening all the chakras.
Because Prana responds to the moon's gravitational pull it has to be purified by different yogic practices. In normal humans, Apana is pulled downwards by the earth gravitational pull that is used for excretion including ejaculation and menstruation for procreation.
Once the prana energy is purified it will increase in 1000 times in proportion to Apana and this will cause the kundalini to travel upward opening all the chakras in pairs.
How would you know if the root chakra is opened?
Symptoms:-
Skin problems and severe itching all over the body.
Damaging Reasons:-
Pornography, over indulgence in sex.
And remember opening of the chakra never happens one by one. It happens in pairs.
Your first chakra is male and the second chakra is female. The third chakra is male and the fourth is female. The fifth chakra is male and the sixth chakra is female.
The seventh chakra (Sahasrara Chakra) is neither male nor female - it is the end of the duality.
When root chakra (Muladhara chakra) meets Sacral Hara chakra (Svadhisthana chakra) then Brahma Granthi (First Psychic Knot) opens and energy moves to Solar Plexus Chakra ( Manipura Chakra) - Manipura Chakra meets Heart Chakra ( Anahata Chakra) and Vishnu Granthi (Second Psychic Knot) opens and energy moves to Vishuddha Chakra ( Throat Chakra) - And lastly, Vishuddha Chakra (male) meets Ajna Chakra (Third eye) and Rudra Granthi (Third Psychic Knot) opens finally energy moves to 7th Chakra - Sahasrara Chakra - This is known as divine orgasm with existence.
This is the end of Maya - duality - The Nirvana, Moksha, Kaivalya, Anal - Haq or Fana.
Remember:- first meeting happens in a sleep state so you don't know about it only visible symptoms appear like skin problems.
The second meeting happens in a dream state you notice that like a dream but you can't control it.
The third meeting happens in a waking state - not only you are aware of it but also you can control your urges in it.
And when energy reaches Sahasrara Chakra - Turiya - the Samadhi happens.
This is the sun ascension of Kundalini.
This is a male Ascension.
This produces Krishna like personality.
Another ascension is the moon ascension where the first chakra meets the fourth chakra, the second chakra meets the fifth and the third chakra meets the sixth chakra.
This produces Buddha like personality.
This is also called female ascension.
Layout of chakras also changes in female Ascension.
Your first chakra is female and the second chakra is male. The third chakra is female and the fourth is male. The fifth chakra is female and the sixth chakra is male.
And remember you are half male and half female. That is why Ardhnarishvar.

Image Credit : Google"
Would people believe in God if we were immortal?,"Of course not, at least not in persons and forms.
God is an experience in a deeper sense.
What is that we feel as God?
I am not going to give you some poetic answer here.
Let's understand.
Humans strive for merger of self-consciousness into cosmic consciousness. This thirst to be merged into cosmic consciousness we feel as love, compassion, devotion (God) and longing for enlightenment.
*The Cosmic consciousness as defined by psychiatrist Richard Maurice Bucke, in his book Cosmic Consciousness: A Study in the Evolution of the Human Mind -“Cosmic consciousness is higher form of consciousness than that possessed by the ordinary man.”
**In Cosmic Consciousness, Bucke stated that he discerned three forms, or degrees, of consciousness:[1]Simple consciousness, possessed by both animals and mankindSelf-consciousness, possessed by mankind, encompassing thought, reason, and imaginationCosmic consciousness, which is ""a higher form of consciousness than that possessed by the ordinary man""
***According to Bucke,This consciousness shows the cosmos to consist not of dead matter governed by unconscious, rigid, and unintending law; it shows it on the contrary as entirely immaterial, entirely spiritual and entirely alive; it shows that death is an absurdity, that everyone and everything has eternal life; it shows that the universe is God and that God is the universe, and that no evil ever did or ever will enter into it; a great deal of this is, of course, from the point of view of self consciousness, absurd; it is nevertheless undoubtedly true.
This book was published in 1901 and mystics also say so from centuries.Cosmic Consciousness is the highest form of consciousness and what we feel as God is about our longing to merge our consciousness into cosmic consciousness.
‘*’ ‘**’ ‘***’ Source: Wikipedia"
"As we know souls have a memory of their own, why are kids considered pure souls?","The soul is always pure there is no such thing as an impure soul.
Soul has a memory of all the past lives.
As the karmic body(conscious mind) grows a distance is created between soul and karmic body that is where impurity enters in our life and we tend to lose our innocence.
While the karmic body has yet not developed in kids, they are closer to the soul hence very innocent.
Look into the child’s eyes, look and you will only see the innocence. Every child comes with a enormous innocence, but he has to be taught the ways of the society and religion – he has to be taught how to think, how to calculate, how to use logic, how to argue; he has to be taught language, concepts and words. And gradually he loses contact with his own innocence. He becomes polluted and contaminated by society. He becomes an efficient mechanism; he is no more a human.
Once he learns new tricks of mind he is no more the same who used to be innocent.

Image Credit: Google"
"How do I start meditating? There seems to be so many different approaches and definitions of the practice—from Hindu yogis, to""scientific"" meditation, to Western ""hippies""—around that I'm suspicious of what's ""actual"" meditation and what's not.","Mind is ‘doing' and meditation is ‘non-doing'.
Simply meditate, don't do meditation.
Your mind is thoughts, your thought is mind. It is the very nature of your mind to create thoughts continuously otherwise your mind will not remain.
Mind is a continuous flow of thoughts jumping from one thought to another. Sometimes it is hyperactively focussed other times it's noisy because of confusion or tiredness.
Let's be clear about one thing - it takes time and patience for meditation to flower.
Meditate by witnessing your thoughts - between every two thoughts there will be a gap and this is where the meditation happens, thoughts will be there, but thoughts will start becoming more and more powerless as you don't cooperate with them, you stand aloof and when you keep meditating for months and years these gaps will become longer and longer and one fine day one of the gaps will become permanent - here you enter the state of NO-MIND permanently.
Now, the mind will never bother you unnecessarily. You will become master of your mind."
"What really is enlightenment? Is it some external light like sunlight, Moonlight, fire light, or is it an internal light? If internal, where does it exist?","What is darkness?
Absence of light.
Enlightenment means bringing the light in so that darkness doesn't remain.
As you can't do anything to darkness directly but you can disperse the darkness by bringing the light similarly darkness of your mind (ignorance) can only be removed by the light of right knowing (mind you, I said ‘knowing', not knowledge).
This is what Buddha meant by saying “Appo Deepo Bhava”—'be your own light'.
How do we get to right knowing?
“Believe Nothing,
no matter
where you read it
or who has said it,
not even
if I have said it,
unless it agrees
with your own reason
and your
own common sense.” — Buddha.
Kabir explained the enlightenment in very simple terms. It is paraphrased as: “Just as the oil of the sesame is in the small sesame grain, just as the fire is there in the flint stone, so also is your divine, your enlightenment in you. All you need is to awaken yourself.” That is: Be your own light.
Enlightenment is your true nature.
That is why it is said, “You are already enlightened”.

Image credit:google.in"
Is nirvāṇa an emotionless void?,"Nirvana means blowing out the flame of desires and attachments.
Beyond desires and attachments what remains is compassion. Compassion of Buddha is not ordinary love it is just like flower - no one is passing by, no one even notices it in dense forest. It has flowered, standing alone and giving away its fragrance. It will give its frangrance, not because it has to be given to someone. It is just being given irrespective of who passes by or no one passes by. If someone passes by and can't even notice the flower - he is bound to notice its fragrance.
Enlightened being becomes empty of negative emotions and what remains is not positive emotions but the understanding - an understanding which comes out of his being.
Positive and negative are two ends of the duality and enlightened being lives beyond these two ends.
And
Beyond these ends of the worldly affairs, godliness breathes - enlightened being lives out of that godliness.

Image Credit: google.in"
Where can I find genuine self-realized guru? I started meditation in year 2020 and now I am going through heart chakra opening also known as dark night of soul.,"Every chakra blockage seems like dark night of the soul as any imbalance in the chakras causes similar symptoms which look like ‘Dark Night of the soul' because all lower chakras below heart chakra lead to a mental body that is why all blockages below the fourth body (mental body) have similar symptoms.
As you have mentioned you started meditating in 2020, one thing is clear your kundalini is awakened and somehow travelled up (upward travel) to Solar Plexus Chakra (Manipura Chakra/Astral Body) by breaking the Brahma Granthi ( 1st Psychic Knot).
If you are having intense real-like dreams and nausea then you are moving in the astral plane and the blockage is at Manipura Chakra.
Your journey of Etheric Body (second body) is complete now because your Kundalini has gone back to Kunda it has become dormant. That is the reason you are having symptoms of Blocked Heart Chakra ( aka ‘dark night of the soul').
Solution:-
Have light liquid food and practice gratitude, forgiveness and surrender.
PS: Whenever your body will be at rest your kundalini will travel to Manipura Chakra again and again.
Important:
*Great masters like Gurdjieff, Osho and even Lord Shiva have talked about Chakras and Kundalini, if master can't gauge the stage of the seeker by the movement of Prana in chakras then he is Naive and nowhere near to Awakening, he should introspect and find enlightened Guru rather than misguiding people because of his/her own limited exposure or no exposure.
** If one can't feel the movement of Prana in chakras and thinks he/she is awakened or enlightened then he/she is nowhere near to awakening and everything they are experiencing is mind games.
** “I am that” is a translation and edited by Jean Dunn.
*** “Be as you are” is a translation and edited by David Godman.
Recommendations:-
————— On non-duality----------———
**** The Ashtavakra Gita (Sanskrit: अष्टावक्रगीता; IAST: aṣṭāvakragītā)[1] or Song of Ashtavakra is a classical text in the Advaita Vedanta tradition in the form of a dialogue between the sage Ashtavakra and Janaka, king of Mithila.[2].
——— On Chakras and Kundalini------
***** All the work of Swami Satyananda Saraswati on Kundalini Tantra.
****** All the work of Gopi Krishna on Kundalini.
******* All the work of OSHO on Kundalini and Chakras.
******** All the work of Swami Sivananda.
*********Rare work of Prabhuji.
*********George Gurdjieff and P. D. OUSPENSKY.
**********Rare work of C.G. Jung on Kundalini (with Sonu Shamdasani).
**** Source : Wikipedia"
What is courage?,"Courage is not fearlessness. Courage is not being a gambler. Courage is about moving into the unknown in spite of having fear and uncertainty.
Courage is not about know-it-all. Courage is about not-knowing-at-all.
Courage is about saying ‘Yes' and taking responsibility for the consequences.
Courage is about saying ‘No' and being ready for consequences.
Courage means living life by heart."
Why is transcendence important to human people?,"Transcendence is the highest possibility for humans and very few transcend the human mind.
It is the culmination of human sufferings, it is the epiphany of human possibility.
Transcendence for humans always remained the ultimate quest where one becomes immune to human frailties. Where one is more like God.
He can create and destroy his worlds with just one thought. He becomes immortal and death becomes a door to yet another journey - journey to eternity."
Can a follower/disciple be more awake than the guru?,"‘More’ or ‘less' is language of mind, either one is awakened or not.
Either you have reached or you have not, there is no way to define quantity of enlightenment - one can't say my left foot has reached home and the right foot is about to reach home.
What do you think awakening is the percentage like school grade?
I want to spill the beans- Anyone who says he is awakened with strings is not awakened at all."
"If the waking state is also a dream, what does that make the people in our life? Are they a “Jiva” in their own right or our projection?","Waking state is made up of the same stuff as dreams. Dreams are fantasy islands with no boundaries of their own.
A waking state is a dream with boundaries where one shadow relates to another.
By shadow, I mean ‘ego' - your false self.
Where ego keeps proposing, propagating and projecting without knowing an end to this endless quest.
Yes, everybody (including you) is a projection based on who is projecting and Jiva also."
How are enlightened people in a constant state of non-resistance? Isn't resistance necessary in some circumstances (such as resisting/avoiding hunger)?,"Resistance is because of the duality of the mind and ‘cause and effect’ construct of the conscious mind.
Beyond the conscious mind, there is only “isness”.
‘Isness' doesn't belong to the mind, it belongs to the existence, it belongs to Now and Here.
‘Isness' of an enlightened being is like ‘isness' of the trees, ‘isness' of the birds, ‘isness' of the sea, moon stars and Sun.
Do they need resistance to live?"
What is the best age to get into spirituality?,"No one can get into spirituality by planning …………….. if you step into spirituality by planning then you are living the myth of spirituality.
Spirituality is something that happens when death happens, when something stirs your soul.
By death, I mean either death of a relationship, death of a loved one or death of the profession - The Tragedy.
The ordinary world is a world of shadows, where one shadow relates to another shadow and this world is made up of the same stuff as dreams - Maya.
By shadow, I mean ‘ego' or false self.
Only death can break our dream.
Only death leaves us pondering:-
What is life?
This very question gets you to seek the answers to questions:-
Who am I?
What is life?
Is there something beyond life?
Spirituality has answers to all these questions.

Image Credit: google.in"
How can I stop creating thoughts and just perceive my environment and focus my attention outwards?,"Your mind is thoughts, your thought is mind. It is the very nature of your mind to create thoughts continuously otherwise your mind will not remain.
‘Just perceiving environment' is also thoughts and ‘focussing attention outwards' is also thought. The only difference is some thoughts are outwards and some thoughts are inwards.
Mind is a continuous flow of thoughts jumping from one thought to another. Sometimes it is hyperactively focussed other times it's noisy because of confusion or tiredness.
You can not control mind PERIOD.
But ‘YES' you can transcend the mind altogether.
‘YES' you read it right - you can transcend mind altogether by attaining NO-MIND.
How does one attain NO-MIND?
Let's be clear about one thing - it takes time and patience to become master of your mind but if your mind becomes a slave of you then you can call your mind on demand to work for you otherwise you remain silent and remain in the present moment.
Now the real thing:-
Meditate by witnessing your thoughts - between every two thoughts there will be a gap and this is where the magic of NO-Mind happens, thoughts will be there, but thoughts will start becoming more and more powerless as you don't cooperate with them, you stand aloof and when you keep meditating for months and years these gaps will become longer and longer and one fine day one of the gaps will become permanent - here you enter the state of NO-MIND permanently.
Now, the mind will never bother you unnecessarily ever."
"If suffering is a choice, then why do maximum people choose to suffer in life?","Many suns ago, maybe billions years, a man and a woman had the desire to have a kid and they made love then you are born.
Don't think you are 29–35–42 years old, you are as old as this earth. Your journey is millions of years long and it all started with a desire.
Do trees have desires? - Yes, no doubt trees do have the desire, that is how they survive. The seed becomes a tree -> tree produces fruits-> fruit again produces seeds-> seed becomes a tree again. This is what we know as a circle of life.
The very fabric of our life is the desire and it is also a source of suffering.
Desires produce more desires and attachments then this circle of life as suffering continues.

That is why Buddha's path is of desirelessness. The day you become utterly desireless you become deathless.
Image Credit: Google"
"Why do enlightened people say ""I"" don't exist, but they also say ""I alone exist"" ? What is the meaning of this contradiction?","अक्षराणामकारोऽस्मि द्वन्द्व: सामासिकस्य च |
अहमेवाक्षय: कालो धाताहं विश्वतोमुख: || 10.33||
BG 10.33: I am the beginning “A” amongst all letters; I am the dual word in grammatical compounds. I am the endless Time, and amongst creators I am Brahma.
When Krishna says “I”, he doesn't use “I” as an ‘EGO' he has to use “I” as utilitarian. This is a limitation of our language. But if you can see behind Krishna's “I” you will see emptiness, utter emptiness, there is no ‘ego', so he doesn't exist as an ‘ego'.
Krishna has merged with cosmic consciousness(Brahman) so Krishna exists as a face of Cosmic consciousness and cosmic consciousness exists everywhere - Brahman is eternal that which existed before this universe and will remain after the destruction of this universe. The universes are created and destroyed by cosmic consciousness (Brahman). So Krishna ( cosmic consciousness ) alone exists and everything else is born and dies in it.
Don't confuse your ‘I' and enlightened being's “I”.

Image Credit: Google"
What is spirituality and what does it mean to be spiritual?,"The ordinary world is a world of shadows, where one shadow relates to another shadow and this world is an illusion - a dream - Maya.
By shadow, I mean ‘ego' or false self.
When death happens then we wake up. Yes, only death can break our dream.
By death, I mean either death of a relationship, death of a loved one or death of the profession - The Tragedy.
Only death leaves us pondering:-
What is life?
This very question gets you to seek the answers to questions:-
Who am I?
What is life?
Is there something beyond life?
Spiritual Awakening has the answers to all these questions.

Image Credit : Google"
Do I have to lose my mind to find my soul?,"The soul is also part of your being, it is inclusive. Mind is real too, it is your identification with your mind that keeps you away from the soul.
You don't have to lose your mind to reach your soul, you just have to dis-identify with your mind.
The moment you dis-identify with your mind, you will know you are not your feelings, you are not your thoughts - you are not even your mind.
And
You stand as a blank slate - Tabula Rasa, exactly like you were born. You attain an eternal part of your being.
Then great bliss rises in your being and that bliss is called - Self-realisation, enlightenment, Kavalaya or Fanna.
Now the real thing;-
How to dis-identify from your mind?
Ego is altered or inflated or deflated state of mind - so just witness your feelings and thoughts - just stand aloof, choose nothing, neither this nor that, let the witness uncover, once you become witness of your ego permanently, you will reach witness of this Universe - The God or Cosmic Consciouness.

Image Credit: google.in"
I feel like becoming a monk and joining a monastery. Should I do that?,"Run to the monastery, run to Himalayan Master, run to the Himalayas or you run to the nearest theatre to watch the latest movie. There is no difference.
This unceasing running is the cause of your turmoil.
Become a monk, become president, become a priest or you become Sadhguru. There is no difference.
‘Becoming' is a disease and this is the cause of your turmoil.
There is absolutely nothing to become and nowhere to go, BUT IN.

Image Credit: google.in"
Is a tragedy necessary for awakening?,"Absolutely Yes,
The ordinary world is a world of shadows, where one shadow relates to another shadow and this world is an illusion - a dream - impermanence - Maya.
By shadow, I mean ‘ego' or false self.
When death happens then we wake up. Yes, only death can break our dream.
By death, I mean either death of a relationship, death of a loved one or death of the profession - The Tragedy.
Only death leaves us pondering:-
What is life?
This very question gets you to seek the answers to questions:-
Who am I?
What is life?
Is there something beyond life?
Spiritual Awakening has the answers to all these questions.

Image Credit : Google"
How do I pick a specific spiritual path to reach goals in life?,"Goals, achievements and ambitions are part of the material world.
Spirituality has nothing to do with achieving or ambitious mind. Spirituality means ‘I want to know myself'. Spirituality means moving inward.
Ambitions mean politics and politicians are anything but not spiritual.
This unceasing running to something and somewhere is the cause of all turmoil in your life. You want to be someone and the last thing you think of is ‘remaining yourself'.
Spirituality means ceasing to be someone or something.
‘Becoming' is the disease and one who becomes himself is the most spiritual person in this world."
Why do people feel lonely?,"If you feel that you are alone then you are feeling loneliness.
There is a difference between being alone and being lonely.
Aloneness is the state of joy that comes from within.
Loneliness is longing for the company of someone.
Loneliness depends on others and is always incomplete whereas aloneness is being whole without depending on others.
Aloneness is wonderful whereas loneliness is ugly.
You never feel aloneness because it is the joy of being."
What is the purpose of spiritual awakening? Why do people have them?,"The ordinary world is a world of shadows, where one shadow relates to another shadow and this world is an illusion - a dream -Maya.
By shadow, I mean ‘ego' or false self.
When death happens then we wake up. Yes, only death can break our dream.
By death, I mean either death of a relationship, death of a loved one or death of the profession.
Only death leaves us pondering:-
What is life?
This very question gets you to seek the answers to questions:-
Who am I?
What is life?
Is there something beyond life?
Spiritual Awakening has the answers to all these questions.

Image Credit : google.in"
"If the self is just an illusion, who has achieved enlightenment if there is no self?","Self is not an illusion but false self as an ego is illusion.
Ego is false self (away from your true-self) which is formed in your early growing age and which is given by society, religion and political ideology.
Enlightenment is about breaking the shell that is formed in ignorance of early age.
Or
You can prefer to keep the false-self and keep feeding it like most politicians, religious leaders and rulers do.
It is this realisation that brings you to the seeking of true-self.
Self is not illusion, it is as true as sun, moon and stars but false self is an illusion."
"How can your twin flame care about you so much, but at the same time keep playing you like a fool, then sneak around behind your back and pretend like your'e the crazy one when you know everything about what they are doing?","Twin flame is just a concept (false sellable story script) based on delusional experiences of people, who think they are spiritual.
So-called twin flame experts try to sell their story by slyly flipping their STORY script onto your life.
Surrender, separation, runner, chaser are all labels just to make the storyline interesting and they know the story attracts gullible people. Every now and then they refer to false stories (script) of their experiences to keep you glued to the storyline.
INTRODUCING the most elusive centre CHARACTER of the story - THE RUNNER.
Runner means an illusion - a dream, a hook.
So-called Runner enjoys his/ her life and the chaser keeps dreaming and screaming and gets fed by lies of so-called twin flames experts.
To be clear - the whole concept is an illusion or fiction.
Young girls and boys come to me with their horror stories of the twin flame.
In one of the stories, a beautiful girl fell in love with a guy and wasted 4 years and at the end of the day ‘Guy' (so-called runner) turned out to be GAY. She thought her love was divine because it was devoid of sexual relationships and one of the well-known twin flame experts kept telling her - this is sacred and divine love.
So-called twin flame experts are more like African Ghanaian Con Artists or better yet to say they also live an illusion.
Nothing can be true in duality (twin)- it is like a weak ego chasing a strong ego. A runner doesn't give a damn and the chaser keeps moving in circles. A twin flame is a stigma, a hurdle to the expansion of human consciousness.
PS: So-called Twin-flames experts keep misguiding deliberately throughout your journey knowing well that it is harming your mental and physical health."
Why are some spiritually awakened people mean or harsh?,"Words ‘mean’ and ‘harsh’ have meaning according to your understanding.
Spiritually awakened person can be ‘harsh’ but ‘mean’ is overstretching of the fact ‘not accepting the truth’.
Truth is harsh, truth is bitter, truth is more like medicine which tastes bitter but ultimately it cures you.
The spiritually awakened person can only speak the truth there is no other way for him to survive in this world. He is not your Papa or Mummy, not even your uncle. He will never lie to please you.
Spiritually Awakened person is mirror of the life which is always not merry-go-round. Life is zigzag. You have to live life like walking on tightrope, balancing to right and to left also with pole.
Whenever you feel someone was harsh to you just go inside and ask - Are you looking for the observation or the confirmation?
Confirmation requires validation and validation pleases you and invalidation displeases you.
Observation requires you to have keen eye and open mind, keen eye is optional but open mind is not.
Spiritually awakened person will tell you what is truth he won’t layout the best possible scenario."
"Is it true that from the beginning of creation to the end, from darkness to God-realization, all beings go through all possible incarnations and varieties of different spiritual states, through the equivalent experiences without exception?","Technically there are thousands of people living inside of you already.
Jesus was passing through a town at night, and there was a man in the cemetery beating his chests and his body with stones, bleeding.
Jesus approached him and asked, “Why are you doing that?”
The man replied, “I am only doing what the whole world is doing.” Again he started to hurt himself, beating his head till it bled.
Jesus asked, “What is your name, madman?”
The man replied, “My names are legion. I don’t have one name, I have thousands of names.”
Just think about it how much of your Dad is inside of you and how much of Mummy is inside of you. Brothers, sisters, cousins and friends are inside of you.
Don't forget you also have brought your ancestors in your DNA.
Yes, you have to live thousands of lives before you reach your true-self, otherwise, you remain split.
Crystallization happens by living and eliminating every bit of absurdity you have collected from your life."
